mot;freq
comptabilisait;0.13
comptabilisant;0.10
comptabilisation;0.26
comptabilise;0.13
comptabiliser;0.48
comptabilis‚;0.19
comptabilis‚e;0.06
comptabilis‚es;0.32
comptabilis‚s;0.16
comptabilit‚;14.94
comptabilit‚s;1.81
comptable;9.35
comptables;6.06
comptage;1.13
comptages;0.19
comptai;0.06
comptaient;5.94
comptais;3.74
comptait;23.35
comptant;8.16
comptants;0.03
compte;249.23
comptent;9.42
compter;43.65
comptera;1.00
compterai;0.13
compteraient;0.26
compterais;0.06
compterait;0.97
compterez;0.03
compteriez;0.03
compterons;0.10
compteront;0.16
comptes;31.65
compteur;3.71
compteurs;2.03
comptez;3.68
comptiez;0.10
comptine;0.90
comptines;0.71
comptions;0.45
comptoir;20.94
comptoirs;1.81
comptons;1.61
comptƒt;0.16
comptŠrent;0.29
compt‚;8.55
compt‚e;1.00
compt‚es;1.23
compt‚s;2.16
compulsait;0.16
compulsant;0.13
compulse;0.32
compulsent;0.03
compulser;0.35
compulsera;0.03
compulsif;0.06
compulsion;0.10
compulsives;0.03
compulsons;0.03
compuls‚;0.10
compuls‚s;0.06
comput;0.06
computation;0.10
computations;0.13
computer;0.03
computerait;0.03
computers;0.06
computeurs;0.03
comput‚;0.03
compŠre;1.74
compŠres;0.94
compŠte;0.03
comp‚nŠtrent;0.13
comp‚n‚trant;0.03
comp‚n‚tration;0.10
comp‚n‚trer;0.03
comp‚tence;16.65
comp‚tences;8.32
comp‚tent;3.68
comp‚tente;3.68
comp‚tentes;2.13
comp‚tents;2.94
comp‚titeur;0.16
comp‚titeurs;0.39
comp‚titif;0.52
comp‚titifs;0.39
comp‚tition;12.13
comp‚titions;4.13
comp‚titive;0.58
comp‚titives;0.32
comp‚titivit‚;0.13
comtal;0.13
comtale;0.03
comtales;0.03
comtat;1.03
comte;60.61
comtes;1.65
comtesse;19.94
comtesses;0.65
comtois;0.55
comtoise;0.35
comtoises;0.03
comt‚;5.52
comt‚s;0.71
comŠte;1.55
comŠtes;0.65
com‚die;21.90
com‚dien;6.58
com‚dienne;1.58
com‚diennes;0.55
com‚diens;3.94
com‚dies;3.03
com‚dons;0.13
com‚taires;0.03
con;37.16
conard;0.16
conarde;0.06
conards;0.06
conasse;0.16
conasses;0.03
conatifs;0.03
conative;0.06
concassage;0.23
concassait;0.03
concassant;0.06
concasse;0.06
concassent;0.03
concasser;0.10
concasseur;0.16
concasseurs;0.19
concass‚;0.42
concass‚e;0.16
concass‚es;0.23
concass‚s;0.39
concat‚nations;0.03
concave;1.16
concaves;0.61
concavit‚;0.42
concavit‚s;0.10
concentra;0.90
concentrai;0.10
concentraient;0.45
concentrait;1.06
concentrant;1.29
concentrassent;0.03
concentrateur;0.06
concentrateurs;0.06
concentration;24.81
concentrationnaire;0.52
concentrationnaires;0.23
concentrations;1.97
concentre;4.35
concentrent;0.90
concentrer;6.52
concentrera;0.23
concentrerais;0.03
concentreront;0.03
concentricit‚;0.03
concentrique;1.39
concentriquement;0.13
concentriques;3.00
concentrons;0.16
concentrƒt;0.06
concentrŠrent;0.06
concentr‚;5.19
concentr‚e;4.87
concentr‚es;2.03
concentr‚s;3.26
concept;16.61
concepteur;0.13
concepteurs;0.03
conception;50.81
conceptions;19.97
concepts;15.39
conceptualisant;0.03
conceptualisation;0.81
conceptualisations;0.90
conceptualise;0.13
conceptualisent;0.06
conceptualiser;0.35
conceptualisme;0.10
conceptualistes;0.06
conceptualis‚;0.10
conceptualis‚e;0.13
conceptualis‚s;0.06
conceptuel;1.61
conceptuelle;1.48
conceptuelles;0.35
conceptuels;0.48
concerna;0.03
concernaient;1.74
concernait;7.10
concernant;33.71
concerne;60.58
concernent;8.39
concerner;1.26
concernera;0.16
concerneraient;0.06
concernerait;0.35
concerneront;0.06
concernƒt;0.10
concernŠrent;0.03
concern‚;1.35
concern‚e;0.71
concern‚es;0.45
concern‚s;1.13
concert;19.32
concertaient;0.06
concertait;0.10
concertant;0.16
concertante;0.03
concertantes;0.10
concertants;0.06
concertation;0.26
concertations;0.06
concerte;0.10
concertent;0.32
concerter;1.00
concertera;0.03
concerterait;0.03
concerterez;0.03
concerteront;0.06
concertinas;0.03
concertino;0.03
concerto;2.55
concertons;0.03
concertos;0.39
concerts;4.65
concertŠrent;0.13
concert‚;1.29
concert‚e;2.23
concert‚es;1.13
concert‚s;0.71
concessibles;0.06
concession;8.97
concessionnaire;1.03
concessionnaires;0.94
concessions;7.35
concetto;0.03
concevable;4.26
concevables;0.68
concevaient;0.74
concevais;0.61
concevait;2.61
concevant;0.45
concevez;0.16
conceviez;0.06
concevions;0.10
concevoir;18.61
concevons;0.61
concevra;0.16
concevraient;0.03
concevrais;0.10
concevrait;0.26
concevriez;0.03
concevront;0.03
conchiaient;0.03
conchie;0.03
conchier;0.16
conchi‚;0.03
concho‹de;0.03
conchyliculteurs;0.03
conchyliculture;0.03
conchyliologiste;0.10
concierge;14.45
conciergerie;0.42
conciergeries;0.03
concierges;2.29
concile;2.29
conciles;1.00
conciliable;0.48
conciliables;0.35
conciliabule;0.97
conciliabules;1.06
conciliaient;0.16
conciliaire;0.16
conciliaires;0.06
conciliait;0.42
conciliant;1.97
conciliante;0.94
conciliantes;0.19
conciliants;0.29
conciliateur;0.32
conciliateurs;0.13
conciliation;3.61
conciliations;0.29
conciliatrice;0.16
conciliatrices;0.03
concilie;0.61
concilient;0.19
concilier;6.55
concilierait;0.06
concilies;0.03
conciliez;0.03
conciliƒt;0.03
concili‚;0.13
concili‚e;0.13
concili‚es;0.03
concili‚s;0.10
concis;0.52
concise;0.39
concises;0.13
concision;0.74
concitoyen;0.10
concitoyenne;0.03
concitoyens;1.74
conclave;0.29
conclaviste;0.03
conclu;8.13
concluaient;0.68
concluais;0.32
concluait;3.23
concluant;0.90
concluante;0.58
concluantes;0.10
concluants;0.61
conclue;1.10
concluent;0.84
conclues;0.52
concluez;0.03
concluions;0.03
concluons;0.58
conclura;0.23
conclurai;0.03
conclurait;0.16
concluras;0.03
conclure;18.23
conclurent;0.45
conclurions;0.03
conclurons;0.16
concluront;0.10
conclus;3.87
conclusion;27.77
conclusions;19.26
conclut;15.39
concl–mes;0.03
concl–t;0.13
concoctait;0.06
concocter;0.19
concocteras;0.03
concoction;0.13
concoct‚;0.13
concoct‚e;0.03
concoct‚s;0.03
concombre;0.87
concombres;1.74
concomitance;0.26
concomitances;0.06
concomitant;0.23
concomitante;0.52
concomitantes;0.45
concomitants;0.29
concordaient;0.23
concordait;0.26
concordance;1.81
concordances;0.23
concordant;0.13
concordante;0.06
concordantes;0.55
concordants;0.39
concordat;0.52
concordataire;0.06
concordats;0.06
concorde;4.23
concordent;0.52
concorder;0.26
concorderait;0.03
concordes;0.03
concordisme;0.06
concordismes;0.03
concouraient;0.26
concourait;0.19
concourant;0.55
concourantes;0.10
concourants;0.26
concourent;2.84
concourir;2.42
concourraient;0.03
concourrait;0.06
concourront;0.06
concours;55.74
concourt;1.71
concouru;0.68
concoururent;0.03
concourut;0.03
concour–t;0.03
concrescence;0.06
concret;12.90
concrets;7.03
concrŠte;18.16
concrŠtement;3.00
concrŠtes;6.42
concr‚tion;0.32
concr‚tions;0.58
concr‚tisait;0.03
concr‚tisant;0.13
concr‚tisation;0.23
concr‚tise;0.58
concr‚tisent;0.16
concr‚tiser;1.23
concr‚tisera;0.10
concr‚tiserait;0.03
concr‚tisons;0.03
concr‚tisŠrent;0.06
concr‚tis‚;0.32
concr‚tis‚e;0.39
concr‚tis‚es;0.06
concr‚tis‚s;0.10
concr‚tude;0.06
concubin;0.26
concubinage;0.48
concubinages;0.03
concubinait;0.03
concubine;0.81
concubines;0.29
concubins;0.03
concupiscence;1.26
concupiscences;0.06
concupiscent;0.13
concupiscente;0.06
concupiscentes;0.06
concupiscents;0.06
concurremment;2.13
concurrence;38.00
concurrencent;0.32
concurrencer;1.06
concurrences;1.58
concurrencŠrent;0.10
concurrenc‚;0.39
concurrenc‚e;0.19
concurrenc‚es;0.10
concurrenc‚s;0.19
concurrent;3.06
concurrente;0.84
concurrentes;1.71
concurrentiel;0.94
concurrentielle;0.68
concurrentielles;0.23
concurrentiels;0.52
concurrents;6.13
concurren‡a;0.13
concurren‡aient;0.13
concurren‡ait;0.13
concurren‡ant;0.16
concussion;0.19
concussionnaire;0.03
concussionnaires;0.16
concussions;0.03
concŠde;1.35
concŠdent;0.19
conc‚da;0.77
conc‚dai;0.03
conc‚daient;0.16
conc‚dais;0.06
conc‚dait;0.48
conc‚dant;0.16
conc‚dante;0.03
conc‚dants;0.03
conc‚der;1.39
conc‚dera;0.03
conc‚deraient;0.06
conc‚derait;0.06
conc‚deront;0.03
conc‚dons;0.06
conc‚dƒt;0.10
conc‚d‚;0.94
conc‚d‚e;0.81
conc‚d‚es;0.26
conc‚d‚s;0.39
condamna;0.77
condamnable;0.74
condamnables;0.19
condamnai;0.06
condamnaient;0.84
condamnais;0.16
condamnait;3.10
condamnant;1.10
condamnation;7.61
condamnations;1.68
condamne;5.81
condamnent;1.26
condamner;5.39
condamnera;0.19
condamnerai;0.03
condamneraient;0.03
condamnerais;0.10
condamnerait;0.26
condamnerez;0.06
condamnerons;0.03
condamneront;0.06
condamnes;0.13
condamnez;0.03
condamniez;0.10
condamnions;0.03
condamnons;0.16
condamnƒt;0.16
condamnŠrent;0.16
condamn‚;15.23
condamn‚e;5.94
condamn‚es;1.55
condamn‚s;8.06
condensa;0.06
condensable;0.16
condensables;0.06
condensaient;0.10
condensait;0.29
condensant;0.16
condensante;0.06
condensantes;0.03
condensateur;1.10
condensateurs;0.16
condensation;4.68
condensations;1.58
condense;1.06
condensent;0.26
condenser;0.90
condensera;0.03
condenserait;0.03
condenseur;0.77
condenseurs;0.16
condensŠrent;0.03
condens‚;1.48
condens‚e;0.94
condens‚es;0.29
condens‚s;0.52
condescend;0.13
condescendaient;0.03
condescendait;0.03
condescendance;2.48
condescendant;0.77
condescendante;0.42
condescendants;0.19
condescendit;0.10
condescendrais;0.03
condescendre;0.10
condescendu;0.03
condiment;0.29
condiments;0.32
condiment‚;0.03
condisciple;0.52
condisciples;1.19
condition;73.58
conditionnaient;0.06
conditionnait;0.13
conditionnant;0.39
conditionne;2.65
conditionnel;1.48
conditionnelle;0.84
conditionnellement;0.13
conditionnelles;0.26
conditionnels;0.68
conditionnement;4.10
conditionnements;0.58
conditionnent;2.74
conditionner;0.48
conditionnera;0.03
conditionneront;0.06
conditionneurs;0.06
conditionn‚;3.39
conditionn‚e;1.65
conditionn‚es;0.68
conditionn‚s;1.74
conditions;171.58
condol‚ance;0.06
condol‚ances;2.23
condol‚ants;0.03
condom;0.10
condominium;0.29
condor;0.29
condors;0.06
condottiere;0.42
condottieres;0.03
conducteur;14.74
conducteurs;7.94
conductibilit‚;3.19
conductibilit‚s;0.19
conduction;1.97
conductions;0.03
conductivit‚;0.52
conductivit‚s;0.06
conductrice;0.81
conductrices;0.52
conduira;2.58
conduirai;0.45
conduiraient;0.45
conduirais;0.06
conduirait;3.06
conduiras;0.16
conduire;34.32
conduirez;0.13
conduiriez;0.06
conduirons;0.13
conduiront;0.77
conduis;2.03
conduisaient;2.16
conduisais;0.68
conduisait;12.84
conduisant;7.81
conduise;1.81
conduisent;9.90
conduises;0.03
conduisez;0.52
conduisiez;0.03
conduisions;0.10
conduisirent;1.81
conduisis;0.35
conduisit;6.39
conduisons;0.13
conduisŒmes;0.03
conduisŒt;0.35
conduit;63.48
conduite;44.65
conduites;11.61
conduits;7.84
condyle;0.10
condyles;0.06
cond‚;1.00
cond‚s;1.84
confabulaient;0.06
confabulations;0.03
confection;6.90
confectionna;0.42
confectionnai;0.10
confectionnaient;0.29
confectionnais;0.03
confectionnait;1.06
confectionne;0.58
confectionnent;0.06
confectionner;2.52
confectionnerai;0.03
confectionnerais;0.06
confectionnerait;0.03
confectionneur;0.10
confectionneurs;0.10
confectionneuse;0.03
confectionneuses;0.03
confectionnez;0.06
confectionnions;0.06
confectionnƒmes;0.03
confectionnƒt;0.03
confectionnŠrent;0.06
confectionn‚;0.74
confectionn‚e;0.26
confectionn‚es;0.23
confectionn‚s;0.29
confections;0.03
conferves;0.06
confessa;0.03
confessai;0.03
confessaient;0.03
confessais;0.06
confessait;0.42
confessant;0.29
confesse;2.26
confessent;0.26
confesser;3.00
confessera;0.03
confesserai;0.06
confesserait;0.13
confesseras;0.03
confesseur;1.65
confesseurs;0.39
confessez;0.06
confessiez;0.03
confession;7.16
confessionnal;1.10
confessionnaux;0.13
confessionnel;0.48
confessionnelle;0.94
confessionnelles;0.45
confessionnels;0.55
confessions;5.90
confessons;0.06
confessŠrent;0.03
confess‚;0.87
confess‚e;0.29
confess‚s;0.10
confetti;0.74
confettis;1.23
confia;5.48
confiai;0.29
confiaient;0.45
confiais;0.23
confiait;3.68
confiance;66.00
confiances;0.16
confiant;5.45
confiante;2.71
confiantes;0.39
confiants;1.10
confidence;6.26
confidences;8.19
confident;2.03
confidente;1.06
confidentes;0.19
confidentiel;2.03
confidentielle;0.77
confidentiellement;0.26
confidentielles;0.61
confidentiels;0.48
confidents;0.29
confie;5.90
confient;1.00
confier;13.71
confiera;0.32
confierai;0.26
confieraient;0.06
confierais;0.03
confierait;0.58
confierez;0.03
confieriez;0.03
confierons;0.03
confieront;0.03
confiez;0.52
configuration;6.71
configurations;1.55
configur‚;0.03
configur‚es;0.03
configur‚s;0.03
confiions;0.03
confina;0.06
confinaient;0.26
confinait;0.42
confinant;0.16
confine;0.87
confinement;0.52
confinent;0.32
confiner;0.58
confinerait;0.06
confineront;0.03
confins;6.48
confin‚;1.65
confin‚e;1.26
confin‚es;0.35
confin‚s;0.77
confions;0.19
confire;0.06
confirma;2.48
confirmai;0.26
confirmaient;0.74
confirmais;0.03
confirmait;1.71
confirmant;1.48
confirmation;5.61
confirmations;0.61
confirmative;0.03
confirme;7.77
confirment;3.03
confirmer;7.87
confirmera;0.45
confirmerai;0.03
confirmeraient;0.06
confirmerait;0.52
confirmeront;0.29
confirmes;0.10
confirmez;0.06
confirmions;0.03
confirmons;0.03
confirmƒt;0.10
confirmŠrent;1.00
confirm‚;6.71
confirm‚e;4.71
confirm‚es;1.35
confirm‚s;1.52
confisait;0.06
confiscation;0.68
confiscations;0.13
confiserie;0.68
confiseries;0.52
confiseur;0.45
confiseurs;0.32
confisqua;0.19
confisquaient;0.03
confisquait;0.23
confisquant;0.16
confisque;0.16
confisquent;0.06
confisquer;0.39
confisquera;0.03
confisquerait;0.06
confisquƒt;0.03
confisquŠrent;0.03
confisqu‚;0.61
confisqu‚e;0.19
confisqu‚es;0.23
confisqu‚s;0.55
confit;0.81
confite;0.26
confiteor;0.45
confites;0.26
confits;1.39
confiture;4.87
confiturerie;0.29
confitures;4.77
confiturier;0.06
confituriers;0.13
confiƒmes;0.03
confiƒt;0.23
confiŠrent;0.45
confi‚;11.97
confi‚e;6.58
confi‚es;3.39
confi‚s;3.10
conflagration;0.26
conflictuel;0.13
conflictuelle;0.13
conflictuelles;0.19
conflictuels;0.06
conflit;25.29
conflits;16.39
confluaient;0.10
confluait;0.06
confluant;0.06
conflue;0.06
confluence;0.74
confluences;0.13
confluent;1.32
confluente;0.03
confluentes;0.06
confluents;0.13
confluer;0.13
conflu‚;0.06
confond;7.68
confondaient;2.42
confondais;0.48
confondait;4.94
confondant;2.10
confondante;0.16
confondantes;0.10
confondants;0.10
confonde;0.71
confondent;4.35
confondez;0.55
confondions;0.19
confondirent;0.26
confondis;0.23
confondit;0.52
confondons;0.39
confondra;0.58
confondraient;0.06
confondrais;0.03
confondrait;0.19
confondre;15.19
confondrez;0.03
confondrons;0.03
confondront;0.10
confonds;1.19
confondu;4.13
confondue;2.19
confondues;3.10
confondus;3.97
confondŒt;0.06
conformai;0.03
conformaient;0.03
conformais;0.06
conformait;0.39
conformant;0.68
conformation;1.16
conformations;0.06
conforme;14.71
conforment;0.26
conformer;3.32
conformera;0.13
conformeraient;0.03
conformerait;0.03
conformerons;0.03
conformes;5.06
conformisme;4.19
conformismes;0.29
conformiste;1.32
conformistes;1.16
conformit‚;3.74
conformƒt;0.16
conformŠrent;0.03
conform‚;0.29
conform‚e;0.10
conform‚ment;11.35
conform‚s;0.32
confort;15.32
conforta;0.06
confortable;7.94
confortablement;1.97
confortables;2.58
confortaient;0.03
confortait;0.03
confortante;0.03
conforte;0.06
conforter;0.35
conforterait;0.03
conforts;0.23
confort‚;0.23
confort‚e;0.16
confraternel;0.10
confraternelle;0.10
confraternellement;0.03
confraternelles;0.06
confraternels;0.06
confraternit‚;0.16
confrontai;0.03
confrontaient;0.10
confrontais;0.06
confrontait;0.10
confrontant;0.65
confrontation;6.74
confrontations;1.13
confronte;0.68
confrontent;0.48
confronter;3.00
confrontera;0.06
confronteraient;0.03
confronterait;0.06
confrontez;0.03
confrontions;0.03
confrontons;0.06
confrontŠrent;0.03
confront‚;1.58
confront‚e;0.68
confront‚es;0.65
confront‚s;1.06
confrŠre;3.35
confrŠres;5.42
confr‚rie;1.61
confr‚ries;1.42
confucianisme;0.45
confucianiste;0.23
confucianistes;0.13
confuc‚enne;0.06
confuc‚ennes;0.10
confus;12.55
confuse;9.16
confuses;3.77
confusion;20.32
confusionnel;0.03
confusionnelle;0.03
confusionnelles;0.03
confusionnels;0.03
confusionnisme;0.10
confusions;2.52
confus‚ment;6.61
confŠre;8.52
confŠrent;2.45
conf‚d‚ral;1.19
conf‚d‚rale;0.29
conf‚d‚rales;0.06
conf‚d‚ralistes;0.03
conf‚d‚ration;7.97
conf‚d‚rations;1.23
conf‚d‚raux;0.26
conf‚d‚rer;0.06
conf‚d‚r‚;0.03
conf‚d‚r‚es;0.03
conf‚d‚r‚s;0.42
conf‚ra;0.42
conf‚raient;0.71
conf‚rais;0.03
conf‚rait;2.13
conf‚rant;1.55
conf‚rence;19.16
conf‚rences;13.35
conf‚rencier;0.61
conf‚renciers;0.68
conf‚rents;0.03
conf‚rer;4.55
conf‚rera;0.13
conf‚reraient;0.06
conf‚rerait;0.19
conf‚rerez;0.03
conf‚rerons;0.03
conf‚reront;0.13
conf‚rƒt;0.06
conf‚rŠrent;0.13
conf‚r‚;1.94
conf‚r‚e;0.97
conf‚r‚es;0.19
conf‚r‚s;0.61
conga;0.03
congayes;0.03
conga‹s;0.03
congelant;0.03
congeler;0.16
congelez;0.03
congel‚;0.48
congel‚e;0.45
congel‚es;0.35
congel‚s;0.58
congestif;0.19
congestifs;0.06
congestion;1.52
congestionnaient;0.03
congestionnait;0.10
congestionne;0.06
congestionn‚;1.13
congestionn‚e;0.23
congestionn‚es;0.19
congestionn‚s;0.42
congestions;0.10
congestive;0.32
congestives;0.26
conglobation;0.03
conglom‚rat;0.42
conglom‚rats;0.19
conglom‚r‚e;0.03
conglutinatif;0.03
congo;6.97
congolais;0.10
congolaise;0.06
congolaises;0.03
congos;0.03
congratula;0.03
congratulaient;0.19
congratulait;0.23
congratulant;0.06
congratulations;0.26
congratule;0.06
congratulent;0.19
congratuler;0.29
congratulions;0.03
congratulƒmes;0.06
congratulŠrent;0.06
congratul‚;0.03
congratul‚s;0.03
congre;0.19
congres;0.03
congressistes;0.35
congru;0.03
congrue;0.48
congruence;0.48
congruences;0.65
congruents;0.03
congrues;0.03
congruistes;0.03
congrus;0.03
congrŠs;19.39
congr‚ganiste;0.06
congr‚ganistes;0.16
congr‚gation;0.94
congr‚gationalistes;0.03
congr‚gations;1.42
congr–ment;0.03
congŠle;0.06
congŠlent;0.03
congŠre;0.10
congŠres;0.58
cong‚;16.42
cong‚able;0.06
cong‚ables;0.06
cong‚dia;0.35
cong‚diable;0.03
cong‚diai;0.03
cong‚diait;0.06
cong‚diant;0.13
cong‚die;0.52
cong‚diement;0.16
cong‚diements;0.03
cong‚dier;0.61
cong‚di‚;0.81
cong‚di‚e;0.10
cong‚di‚es;0.06
cong‚di‚s;0.23
cong‚lateur;0.29
cong‚lateurs;0.13
cong‚latif;0.03
cong‚lation;1.55
cong‚lations;0.10
cong‚nital;0.87
cong‚nitale;1.94
cong‚nitalement;0.26
cong‚nitales;0.65
cong‚nitaux;0.16
cong‚nŠre;0.23
cong‚nŠres;1.39
cong‚s;8.68
conicit‚;0.06
conidies;0.10
conifŠre;0.13
conifŠres;0.77
conique;2.65
coniques;1.87
conjecturable;0.03
conjecturait;0.03
conjectural;0.23
conjecturale;0.29
conjecturales;0.19
conjecturaux;0.03
conjecture;0.65
conjecturer;0.39
conjectures;1.58
conjectur‚;0.03
conjectur‚es;0.03
conjoignent;0.10
conjoindre;0.16
conjoint;3.52
conjointe;1.13
conjointement;3.52
conjointes;0.23
conjoints;1.10
conjoncteur;0.35
conjonctif;1.13
conjonctifs;0.32
conjonction;4.74
conjonctions;0.84
conjonctivale;0.10
conjonctivales;0.06
conjonctive;0.68
conjonctives;0.58
conjonctivite;0.26
conjonctivites;0.10
conjoncture;11.16
conjoncturel;0.23
conjoncturelle;0.29
conjoncturelles;0.35
conjoncturels;0.13
conjonctures;1.48
conjoncturiste;0.03
conjugaison;1.55
conjugaisons;0.23
conjugal;2.68
conjugale;2.55
conjugalement;0.03
conjugales;0.65
conjugalit‚;0.13
conjugaux;0.52
conjugua;0.03
conjuguaient;0.16
conjuguait;0.16
conjuguant;0.32
conjugue;0.39
conjuguent;0.97
conjuguer;0.87
conjuguera;0.03
conjuguerions;0.03
conjugues;0.06
conjuguŠrent;0.10
conjugu‚;1.35
conjugu‚e;1.29
conjugu‚es;1.55
conjugu‚s;1.61
conjungo;0.10
conjungos;0.03
conjura;0.13
conjurais;0.03
conjurait;0.13
conjurant;0.06
conjurateurs;0.03
conjuration;1.32
conjurations;0.45
conjuratoire;0.03
conjure;1.23
conjurent;0.03
conjurer;2.58
conjurera;0.03
conjur‚;0.42
conjur‚e;0.26
conjur‚es;0.06
conjur‚s;0.84
connais;63.68
connaissable;0.77
connaissables;0.16
connaissaient;10.19
connaissais;21.06
connaissait;50.19
connaissance;112.26
connaissances;37.84
connaissant;7.77
connaissantes;0.03
connaisse;4.42
connaissement;0.45
connaissements;0.26
connaissent;18.19
connaisses;0.32
connaisseur;3.26
connaisseurs;1.81
connaisseuse;0.39
connaisseuses;0.06
connaissez;17.77
connaissiez;1.55
connaissions;3.68
connaissons;11.13
connard;3.26
connards;1.03
connasse;1.06
connasses;0.29
connaturels;0.03
connaŒt;60.19
connaŒtra;2.32
connaŒtrai;1.26
connaŒtraient;0.58
connaŒtrais;0.77
connaŒtrait;1.81
connaŒtras;0.84
connaŒtre;88.74
connaŒtrez;0.42
connaŒtriez;0.13
connaŒtrions;0.23
connaŒtrons;0.87
connaŒtront;0.74
conne;3.61
conneau;0.06
conneaux;0.06
connectant;0.10
connecte;0.19
connectent;0.03
connecter;0.32
connecteur;0.10
connecteurs;0.03
connections;0.10
connectons;0.26
connect‚;0.32
connect‚e;0.26
connect‚es;0.10
connect‚s;0.26
connement;0.61
connerie;6.10
conneries;8.48
connes;0.68
connexe;0.32
connexes;1.52
connexion;2.29
connexions;2.71
connexit‚;0.13
connils;0.03
connivence;4.32
connivences;0.32
connivent;0.03
conniventes;0.10
connotant;0.03
connotation;0.32
connotations;0.13
connote;0.16
connotent;0.10
connoter;0.03
connot‚;0.03
connu;89.61
connue;30.87
connues;17.19
connurent;2.52
connus;26.84
connusse;0.19
connussent;0.26
connusses;0.03
connut;8.26
conn‚table;2.58
conn‚tables;0.29
conn‚tablie;0.03
conn–mes;0.10
conn–t;1.48
cono‹daux;0.03
cono‹de;0.03
conque;1.39
conquerraient;0.06
conquerrait;0.06
conquerront;0.06
conques;0.48
conquiers;0.03
conquiert;1.19
conquirent;0.16
conquis;7.52
conquise;2.16
conquises;0.71
conquistador;0.35
conquistadores;0.42
conquistadors;0.42
conquit;0.77
conquiŠre;0.13
conquiŠrent;0.23
conqu‚raient;0.10
conqu‚rait;0.10
conqu‚rant;3.35
conqu‚rante;1.45
conqu‚rantes;0.32
conqu‚rants;2.26
conqu‚rir;7.29
conqu‚rons;0.03
conquˆtant;0.03
conquˆte;16.71
conquˆtes;6.94
conquŒt;0.10
cons;13.87
consacra;2.77
consacrai;0.19
consacraient;0.68
consacrais;0.19
consacrait;2.23
consacrant;1.84
consacre;6.65
consacrent;2.90
consacrer;12.74
consacrera;0.32
consacrerai;0.06
consacreraient;0.06
consacrerais;0.06
consacrerait;0.29
consacreriez;0.03
consacrerions;0.03
consacrerons;0.26
consacreront;0.10
consacres;0.10
consacrez;0.03
consacriez;0.03
consacrions;0.03
consacrons;0.16
consacrƒt;0.13
consacrŠrent;0.29
consacr‚;14.39
consacr‚e;8.74
consacr‚es;5.71
consacr‚s;7.65
consanguin;0.06
consanguine;0.13
consanguines;0.13
consanguinit‚;0.58
consanguinit‚s;0.03
consanguins;0.65
consciemment;5.16
conscience;116.74
consciences;5.42
consciencieuse;0.55
consciencieusement;2.87
consciencieuses;0.19
consciencieux;2.29
conscient;11.26
consciente;8.68
conscientes;2.16
conscients;4.77
conscription;0.71
conscrit;0.61
conscrits;1.29
conseil;135.06
conseilla;2.84
conseillai;0.32
conseillaient;0.39
conseillais;0.35
conseillait;2.65
conseillant;0.61
conseille;5.94
conseillent;0.55
conseiller;13.94
conseillera;0.10
conseillerai;0.10
conseillerais;0.26
conseillerait;0.10
conseillerez;0.06
conseilleriez;0.03
conseilleront;0.06
conseillers;11.16
conseilles;0.10
conseilleur;0.06
conseilleurs;0.13
conseillez;0.39
conseillons;0.10
conseillƒt;0.06
conseillŠre;0.48
conseillŠrent;0.23
conseillŠres;0.19
conseill‚;4.94
conseill‚e;0.39
conseill‚es;0.26
conseill‚s;0.48
conseils;34.06
consens;0.68
consensuel;0.03
consensuelles;0.06
consensus;1.71
consent;3.13
consentaient;0.68
consentais;0.42
consentait;2.48
consentant;0.87
consentante;0.77
consentantes;0.23
consentants;0.19
consente;0.84
consentement;6.65
consentements;0.19
consentent;1.06
consentes;0.06
consentez;0.19
consenti;5.58
consentie;1.13
consenties;0.81
consentiez;0.06
consentions;0.19
consentir;5.42
consentira;0.45
consentirai;0.03
consentiraient;0.16
consentirais;0.10
consentirait;0.81
consentiras;0.03
consentirent;0.39
consentirez;0.10
consentiriez;0.13
consentirions;0.03
consentiront;0.13
consentis;1.84
consentisse;0.03
consentissent;0.13
consentit;2.48
consentons;0.10
consentŒt;0.68
conserva;1.77
conservable;0.03
conservai;0.16
conservaient;1.52
conservais;0.13
conservait;5.71
conservant;4.90
conservateur;8.00
conservateurs;5.74
conservatif;0.06
conservatifs;0.03
conservation;18.90
conservations;0.06
conservatisme;1.48
conservatismes;0.03
conservatives;0.03
conservatoire;8.45
conservatoires;0.71
conservatrice;1.61
conservatrices;0.58
conserve;20.42
conservent;6.32
conserver;24.90
conservera;0.61
conserverai;0.26
conserveraient;0.16
conserverais;0.03
conserverait;0.58
conserverez;0.13
conserverie;2.16
conserveries;0.58
conserverons;0.13
conserveront;0.45
conserves;14.58
conserveurs;0.71
conservez;0.13
conservions;0.13
conservons;0.42
conservƒt;0.23
conservŠrent;0.65
conserv‚;14.97
conserv‚e;3.94
conserv‚es;3.19
conserv‚s;6.13
considŠre;26.74
considŠrent;5.06
considŠres;0.06
consid‚ra;4.48
consid‚rable;46.81
consid‚rablement;17.45
consid‚rables;18.32
consid‚rai;0.19
consid‚raient;2.52
consid‚rais;1.10
consid‚rait;10.45
consid‚rant;8.87
consid‚rants;0.19
consid‚rassent;0.06
consid‚ration;21.48
consid‚rations;17.77
consid‚rer;47.10
consid‚rera;0.42
consid‚rerai;0.16
consid‚reraient;0.06
consid‚rerais;0.03
consid‚rerait;0.35
consid‚reras;0.03
consid‚rerions;0.03
consid‚rerons;0.58
consid‚reront;0.10
consid‚rez;1.19
consid‚riez;0.06
consid‚rions;0.48
